NAME,density_100km2,AREA_KM2
Honduras,189.3816014251323,120814.27038225299
Guinea-Bissau,143.05538954300556,34532.07890860294
Guinea,108.26296750378533,254288.24495354271
Belize,96.83609094700125,24577.613333262107
Guatemala,93.6321120499245,118121.86821229478
Dem. Rep. Congo,89.274751309184,2360465.830592815
Madagascar,88.9369506120737,672161.5660148856
Nicaragua,78.17051372329725,136240.62952557992
Gambia,77.00244614164231,11168.476367855525
Heard I. and McDonald Is.,73.21712058985287,1092.640619509519
Qatar,58.37859134631233,13703.653711927645
Trinidad and Tobago,56.271295581587644,5331.314960840568
Mexico,42.7642646041486,2372541.675606349
United Arab Emirates,41.776911739773965,85453.89908754695
El Salvador,34.70743440391276,21897.325833865758
Kuwait,32.06678455625847,23076.83823745198
Angola,31.24594324218013,1316010.8395924657
India,29.651355016523116,3770822.6129191825
Liberia,27.990006949998023,97177.53928604122
Grenada,27.35227193551013,365.600342946923
Senegal,26.18565608720651,210420.54404327157
St. Vin. and Gren.,25.617891493566553,390.3521881381733
Venezuela,25.588593423698267,934791.5144818809
Zambia,22.718271541983285,801117.284225011
Sierra Leone,21.56846326156369,73718.74299609823
Barbados,21.21261904246163,471.41750766290784
Congo,20.065898297123717,347853.8511779722
Iraq,18.68233143577879,625189.6365370905
Philippines,16.49072075803269,309264.8329222221
Laos,15.544461764141271,255396.42737313628
Tonga,14.54105807129655,687.7078649276278
Côte d'Ivoire,13.200575244754766,328773.55111660715
Nepal,12.924160969653489,190341.17617199218
Iran,12.333474097987459,2302676.421449998
Vietnam,12.265566738148072,362804.27109492756
Dominican Rep.,11.762957308394107,54408.08660788837
Bahrain,11.684159142044269,855.8596197150387
Australia,11.204222308419293,9657073.647913452
Pakistan,11.10143278983965,1171920.8003409365
South Korea,10.827196308973695,152394.02269195605
S. Sudan,10.359558495494046,641919.2480927116
Costa Rica,9.420821419462387,53073.92824229262
Oman,9.25833726574435,357515.5997229577
Zimbabwe,8.899959538763028,438204.2393579293
Bolivia,8.796259573160958,1194826.0408399028
Mauritius,8.699581813334067,2298.9610798700114
Turkmenistan,8.338946113494032,784271.7665985408
Cambodia,8.094161024559552,191496.06676923553
