NAME,fire_count
India,7490
Russia,6902
Mexico,5827
Dem. Rep. Congo,5557
Madagascar,2676
United States of America,2251
Australia,2167
China,1598
Angola,1529
Guinea,1419
Brazil,1123
Honduras,1081
Pakistan,953
Iran,926
Venezuela,829
Guatemala,672
Mali,619
Nicaragua,617
Zambia,581
Kazakhstan,478
Argentina,468
Turkmenistan,443
Iraq,420
South Africa,401
Algeria,395
Chile,351
Bolivia,334
Ethiopia,309
Senegal,297
Myanmar,295
Congo,287
Libya,287
Nigeria,276
Philippines,271
Laos,262
Saudi Arabia,251
Sudan,245
Papua New Guinea,240
Egypt,238
Japan,216
Guinea-Bissau,214
Mozambique,209
Indonesia,205
Nepal,202
S. Sudan,201
Tanzania,199
Vietnam,197
Sierra Leone,177
Ukraine,163
Belize,151
Peru,147
Colombia,144
Oman,143
Zimbabwe,137
Turkey,127
Canada,122
Thailand,106
Italy,96
Central African Rep.,95
Côte d'Ivoire,92
United Arab Emirates,87
Paraguay,87
Germany,84
Chad,82
New Zealand,61
South Korea,59
Spain,57
Gabon,56
Syria,53
Gambia,52
Niger,49
El Salvador,48
Uzbekistan,48
Malawi,47
Burkina Faso,42
Cuba,41
Liberia,41
Ecuador,40
Benin,39
France,39
Qatar,37
Cambodia,35
Cameroon,32
Namibia,30
Poland,30
Ghana,29
Kuwait,29
Uruguay,27
Dominican Rep.,26
Morocco,25
Tunisia,25
Malaysia,25
Yemen,22
Netherlands,21
Kenya,21
Belarus,20
Portugal,19
Uganda,19
Mongolia,17
Costa Rica,16
Greece,14
Trinidad and Tobago,14
United Kingdom,13
Sweden,13
Finland,12
Romania,12
Mauritania,12
Austria,12
Taiwan,11
Jordan,11
Eritrea,11
Togo,10
Slovakia,10
Israel,9
eSwatini,8
Panama,8
Serbia,8
Belgium,7
Kyrgyzstan,7
Palestine,6
Norway,6
Bulgaria,6
Czechia,6
Moldova,6
Bangladesh,6
North Korea,6
Solomon Is.,5
Haiti,5
Botswana,5
Croatia,4
Azerbaijan,4
Antarctica,4
Denmark,4
Slovenia,4
Hungary,4
Puerto Rico,3
New Caledonia,3
Albania,3
Somalia,3
Vanuatu,3
Barbados,3
Jamaica,3
Fiji,2
Sri Lanka,2
Heard I. and McDonald Is.,2
Rwanda,2
Tajikistan,2
Suriname,2
Ireland,2
Afghanistan,2
Burundi,2
Switzerland,2
Kosovo,1
Armenia,1
North Macedonia,1
Singapore,1
Tonga,1
Bahamas,1
Bahrain,1
Guyana,1
Latvia,1
N. Cyprus,1
Georgia,1
Lesotho,1
Somaliland,1
Micronesia,0
San Marino,0
Liechtenstein,0
Djibouti,0
Falkland Is.,0
Guam,0
N. Mariana Is.,0
Coral Sea Is.,0
Spratly Is.,0
Clipperton I.,0
Macao,0
Ashmore and Cartier Is.,0
Bajo Nuevo Bank,0
S. Geo. and the Is.,0
Dhekelia,0
Cyprus,0
Lebanon,0
Niue,0
American Samoa,0
Palau,0
Luxembourg,0
Timor-Leste,0
Monaco,0
Montenegro,0
Brazilian I.,0
USNB Guantanamo Bay,0
Bosnia and Herz.,0
Brunei,0
Andorra,0
Southern Patagonian Ice Field,0
Akrotiri,0
Bir Tawil,0
Eq. Guinea,0
Vatican,0
Cyprus U.N. Buffer Zone,0
Siachen Glacier,0
Baikonur,0
Hong Kong,0
St-Martin,0
Bhutan,0
Gibraltar,0
Sint Maarten,0
Lithuania,0
Estonia,0
Greenland,0
Fr. Polynesia,0
Pitcairn Is.,0
Fr. S. Antarctic Lands,0
Seychelles,0
Marshall Is.,0
Kiribati,0
Grenada,0
St. Vin. and Gren.,0
Saint Lucia,0
Dominica,0
Curaçao,0
Turks and Caicos Is.,0
St. Pierre and Miquelon,0
Iceland,0
Aruba,0
W. Sahara,0
St-Barthélemy,0
U.S. Virgin Is.,0
St. Kitts and Nevis,0
Antigua and Barb.,0
Montserrat,0
U.S. Minor Outlying Is.,0
British Virgin Is.,0
Anguilla,0
Mauritius,0
Comoros,0
São Tomé and Principe,0
Cabo Verde,0
Malta,0
Cayman Is.,0
Bermuda,0
Saint Helena,0
Isle of Man,0
Guernsey,0
Jersey,0
Åland,0
Br. Indian Ocean Ter.,0
Indian Ocean Ter.,0
Norfolk Island,0
Faeroe Is.,0
Cook Is.,0
Wallis and Futuna Is.,0
Samoa,0
Tuvalu,0
Maldives,0
Nauru,0
Serranilla Bank,0
Scarborough Reef,0
